Index,Sentence
4820,Ce n'était pas irréfléchi.
4821,Vous avez pris le temps de vérifier ?
4822,"Vrai, mais pas que cela."
4823,On ne s'en était jamais pris à moi.
4824,Le plus tôt sera le mieux.
4825,Il y a des miettes sous le lit.
4826,Je cherchais un répertoire téléphonique.
4827,Elle était ici avant-hier.
4828,J'ai réglé toutes mes contraventions !
4829,L'homme mesure un mètre soixante-cinq.
4830,Ils sont hors du coup physiquement.
4831,Il y a environ un mois.
4832,J'aurais dû me méfier.
4833,Un carton à pizza.
4834,Pas une allure de vieillard.
4835,Un crime sexuel ?
4836,Son visage perdit de sa couleur.
4837,Le ciblage remplit peut-être une fonction.
4838,C'est trop insistant pour l'oublier.
4839,Sa corpulence était moyenne.
4840,Comme les deux types dans les bars.
4841,Je m'écartai doucement du cadavre.
4842,L'imbécile s'imaginait qu'elle se laisserait intimider.
4843,Je retourne au volant.
4844,"Tu commences à être lassant, connard."
4845,Tout le monde louerait son intelligence.
4846,Que quelqu'un puisse s'en prendre à elle ?
4847,Il faisait tiède ce soir-là.
4848,...vous tiendrez là votre dynamite psychologique.
4849,"Non, elle détestait tout le monde."
4850,Fais ce que tu dois faire.
4851,Qu'on ait pu s'en prendre à lui .
4852,Il prit une bière.
4853,Son visage était plus détendu.
4854,"Grâce au nom, Milo se renseignait."
4855,Le polo était rose pour madame.
4856,Vita n'avait rien d'un mannequin.
4857,Cela signifiait que tout séchait.
4858,"Je veux dire, bonne chance pour l’enquête."
4859,Elle retira quelque chose.
4860,Il indiqua une feuille blanche froissée.
4861,"Que peut bien signifier ce point d'interrogation, docteur ?"
4862,Appelez-moi dès que vous aurez du nouveau.
4863,Rien ne vous a mis la puce à l'oreille.
4864,Il faisait un peu frais.
4865,Pourquoi tout serait logique ?
4866,As-tu arrangé un rendez-vous ?
4867,Dès que le divorce est prononcé.
4868,Deux voyants sont sur le panneau.
4869,Je ne rêvais plus d'enfants.
4870,Dis-moi où elle habite.
4871,L'appartement de Stanleigh était parfait.
4872,Elle était toute chiffonnée.
4873,J'ai chargé un pathologiste.
4874,Il se lève à quatre heures.
4875,Elle croisa les jambes.
4876,Le corps n'avait pas bougé.
4877,Comme la ville ? .
4878,Ses viscères avaient été retirés.
4879,Et pour les traces de pneus ? .
4880,Ses cheveux étaient laqués.
4881,Il lui apportera peut-être une surprise.
4882,Une petite douceur supplémentaire...
4883,Comment cela est-il possible ?
4884,Ne vous inquiétez pas.
4885,...soit un meurtre suivi d'un suicide ?
4886,Les costard-cravate chez Well-Start...
4887,Elle voulait me la décrire.
4888,Afin d'agir de façon optimale contre les fripouilles...
4889,"Une dernière question, Gloria."
4890,Certaines avaient vue sur l'océan.
4891,Ils sont dans la norme.
4892,Peut-être que Marilyn Monroe est sortie .
4893,La dame est mariée.
4894,Combien de temps ?
4895,Milo nota les renseignements.
4896,Ce fonds était celui d'une famille Cameron.
4897,J'ai déménagé à Alhambra.
4898,Ou bien l'assassin est reparti .
4899,Une collègue prénommée Samantha.
4900,Il tendait la main.
4901,Vous savez faire preuve d'ouverture d'esprit.
4902,Elle mène à ma demeure blanche.
4903,que le chien était au fond d'un fossé.
4904,Il était petit et trapu.
4905,Prévenir les cibles à haut risque.
4906,Le Dr J pourrait te l'accorder.
4907,Vous allez être impressionnés.
4908,"C'est vrai, non ?"
4909,Je ne pense pas en humain.
4910,Pour quel examen était-il là ?
4911,J'ai vu Vita et le père.
4912,Nous autres fonctionnaires nous nous échinons.
4913,Beaucoup de gens étaient debout.
4914,Peut-être le meurtrier lui avait-il écarté les paupières.
4915,Elle se tenait recroquevillée.
4916,Je n'ai jamais eu le temps.
4917,Milo secoua la tête.
4918,J'ai obtenu des réponses à mes questions.
4919,Elle mangeait et lisait le L.A. Times.
4920,Milo imagina un cinglé.
4921,Les paroles de chansons sont inutiles.
4922,Elle ne s’entretenait plus.
4923,Au tour de Nina de nous détailler.
4924,Il y a de la poussière.
4925,Sous ta direction .
4926,Rien sur les étagères.
4927,"Non, mais le coroner se borne au comté."
4928,"Tiens donc, des poils ou cheveux ."
4929,"La Mercedes, elle a fait saisir."
4930,Cela pourrait être une histoire obsessionnelle.
4931,Je ne surveillais pas ses habitudes alimentaires.
4932,On a engagé la saisie.
4933,Elle portait un jean blanc moulant.
4934,Le collier de viscères se métamorphosa.
4935,Il fit défiler une longue liste.
4936,Au centre de la page figurait un point.
4937,Ce n'était pas incapacitant.
4938,"Non, pas du tout."
4939,Pourquoi je n'étais pas passé hier ?
4940,Et qu’on vous raye comme suspect.
4941,Il avait la même carrure.
4942,Les formulaires s'envolaient partout.
4943,Et plaisanteries de collègues.
4944,"Mais c’est cool, vous m’embêtez pas."
4945,Vous accepteriez pour nous rendre service ?
4946,Ils s’en sont tenus à une inspection sommaire.
4947,Je penche vers la psychologie.
4948,Le dernier lascar était un gringalet.
4949,sur le type sympa.
4950,La vie a opté pour l'amertume.
4951,Il disséquait méticuleusement les cadavres.
4952,Elle se mit à pleurer fort.
4953,Pardonnez-moi si le moment est inopportun.
4954,Comme le méchant masqué.
4955,Mais ça n'en prend pas le chemin.
4956,Grâce auquel deux générations de Cameron...
4957,Des plats à emporter...
4958,Celui-ci a refilé le dossier à Maria.
4959,Que souhaitez-vous savoir sur Jay ?
4960,Il inspecta les tiroirs du bureau.
4961,Les voilages marron obturent la fenêtre.
4962,Cela ne peut m'être reproché.
4963,Je continuais d'observer le réfrigérateur.
4964,qu'une enquête est complexe.
4965,Brian Cohn avait la gueule de bois.
4966,Il attrapa plusieurs filaments.
4967,Elle était de style ranch.
4968,Elle était douée là où ça compte.
4969,Chacun prit un bras.
4970,Il était souvent dans des bars.
4971,Elle est rassurée par son pas.
4972,Ils étaient gris comme ceux de la victime.
4973,C'était un dérèglement thyroïdien.
4974,Berlin et Quigg ont été épiés.
4975,Ses yeux sont noisette.
4976,J'ai eu trop de stress.
4977,"Oui, c'est une cliente."
4978,C'était sur le drap de bain gris.
4979,Les livres dont avait parlé Milo.
4980,Il a eu quatre-vingt-dix jours de prison.
4981,Elle te reproche de sécher une réunion ?
4982,Il ne se voyait pas différent.
4983,Il jouait les chirurgiens derrière le garage.
4984,Tu serais étonné du nombre.
4985,Cheryl Wannamaker était stoïque.
4986,Ce n'était pas un temps à porter un manteau.
4987,Les personnages s'expriment comme le prince Charles.
4988,"Pas pour elle, elle a gagné."
4989,Elle était sombre et mal aérée.
4990,Le chef pense que ça pourrait être utile.
4991,C'était un azur immaculé.
4992,Elle serait survenue ici.
4993,J'approchai le verre de sa bouche.
4994,Elle était vers les poubelles voisines.
4995,C'est un collègue ?
4996,Ce n'était pas leur intention.
4997,Vous perdez votre temps.
4998,Je ne crois pas qu’un suspect ait pu échapper.
4999,Ça fait un bail que je l’ai pas vue.
5000,On va pratiquer l'examen.
5001,Je ne peux pas vous dire.
5002,Les larmes cessèrent finalement.
5003,Rien n'est sûr pour l'instant.
5004,Vita vivait sa vie.
5005,Il y a des consignes précises.
5006,Je me suis un peu lâché.
5007,Je me demandai quelles furent les pensées.
5008,Je risque de me rompre le cou !
5009,Je vous livre un dernier conseil.
5010,"C'est difficile à établir, Alex."
5011,C'était pratique pour traverser Sunset.
5012,Les petites taches en sont certainement.
5013,Sa voix était celle d'une basse.
5014,Le terme 'psy' ne me plaît guère.
5015,Il fallait le franchir pour atteindre Glenda.
5016,Rien à voir avec une escroquerie.
5017,Elle était secrétaire de direction de Me W.B. Leventhal.
5018,Vous me devrez encore une ristourne.
5019,Il pensait que le chien ne réagirait pas.
5020,Le type a casqué son dû.
5021,Il utilisait un crayon à papier.
5022,Je suis seul sur ce terrain.
5023,"Un jour, ça lui reviendra."
5024,Vers cinq heures et demie.
5025,Il est prisonnier d'une enfance.
5026,Il lui a mis une raclée.
5027,Elle inspecta l'étiquette du polo.
5028,Je suis sûr que ça n'a aucun lien.
5029,Ses cheveux étaient gris.
5030,Sa femme l'a suivi.
5031,Le message est toujours sur le répondeur ?
5032,Milo espérait le trouver chez lui.
5033,Il m'a fallu un mois.
5034,Ils lui ont murmuré des choses.
5035,Cela sentait la folie.
5036,Les psychopathes sont moins sujets à l'angoisse.
5037,Il déchira une tranche de pain.
5038,Je pensais qu'elle était rationnelle.
5039,Vita a marmonné quelque chose.
5040,Il était devenu une sorte de dieu protecteur.
5041,On est loin d'un meurtre.
5042,Pas de carton à pizza.
5043,Elle n'était pas sur la même longueur d'ondes.
5044,Elles veillaient sur leurs bambins.
5045,Il n'attendrait pas que les victimes meurent.
5046,C'est pour ça que tu t'es fait chic.
5047,"Non, il avait l'air normal."
5048,Une nuisette rose transparente traînait.
5049,Qui s'en prennent à une pauvre gosse malade ?
5050,La vie est trop courte.
5051,Le permis de conduire donna une identité.
5052,Le silence se prolongea un long moment.
5053,C'étaient des figurines en biscuit de porcelaine.
5054,Il aurait oublié une empreinte partielle.
5055,La chaîne est restée en place.
5056,Je peux vous envoyer des hommes.
5057,Combien de cadavres faudra-t-il ?
5058,C'est arrivé hier dans la soirée.
5059,Elle n'était pas dans l'affect.
5060,Elle appuya sur un bouton.
5061,C'était comme Blanche quand elle réfléchit.
5062,"Parfait, s'il veut jouer à ce jeu."
5063,C'était une feuille de papier.
5064,Elle a balancé ses petits camarades.
5065,Personne ne saura mon rôle ?
5066,Elle a réagi froidement.
5067,Avait-elle un caractère facile ?
5068,J'ai intérêt à être chez elle.
5069,La porte du jardin se ferme.
5070,"Est-ce bien nécessaire, messieurs ?"
5071,J'ai hérité de son dossier.
5072,Elle a eu deux années de secrétariat.
5073,La conductrice ralentit pour nous observer.
5074,Ce n'était pas exclu.
5075,Ça ne l'a pas fait rire.
5076,Milo trouva cela rapide.
5077,Je réfléchis non en être humain.
5078,"Pour d'autres, c'est le vice."
5079,J'avais de la glace à la vanille.
5080,Elle menaçait d'appeler son avocat.
5081,Il geignit quand Milo s'expliqua.
5082,Il lança des injures.
5083,"Si vous voulez, nous pouvons rester ."
5084,Nous ne verrons rien du tout.
5085,Je n'ai pas eu vent d'une altercation.
5086,Je vais jeter un coup d'œil.
5087,Comme s'il était poussé.
5088,Ils sonnent à sa porte ?
5089,"Surtout, ne vous interrompez pas pour moi."
5090,"Cette fois-ci, le salaud a doublé la mise."
5091,Certains demandent leur transfert.
5092,Son slip était baissé à mi-cuisse.
5093,Vous la voyez encore ?
5094,Il s'était attaqué à un adversaire de taille.
5095,"Il demande ""Tu te rappelles ?"
5096,Ce ne sont que des questions de routine .
5097,Il pensa qu'il observait leur étage.
5098,Ils ne souffrent pas.
5099,Sa courbe parfaite prenait naissance.
5100,Margaret Wheeling habitait un quart d'heure.
5101,Ce fut le contraire.
5102,Ils étaient dépourvus de toute expression.
5103,Il s'essuya rageusement le menton.
5104,J'ai entendu parler d'un incident.
5105,S'il n'y avait que ça.
5106,N'importe qui peut s'initier.
5107,William B. Leventhal portait un costume.
5108,Elle porta la main à sa bouche.
5109,Elle ferme les yeux.
5110,Ses yeux bleus devinrent gigantesques.
5111,Il y avait un tire-bouchon.
5112,Elle était au pied du lit.
5113,Elle est tout entière sur ma conscience.
5114,Dites-moi ce que vous inspire ceci.
5115,Son pouls redevint normal.
5116,Rien ne vous captive autant.
5117,Vous en pensez quoi ?
5118,C'était une grande rousse plantureuse.
5119,Il s'adonne à la biologie.
5120,Ralph Veronese avait trente ans.
5121,Je serais même prêt à parier.
5122,Elle marchait pieds nus chez elle.
5123,Il y a une touche singulière.
5124,Elle était sous le nombril.
5125,Elle se précipita vers elle.
5126,J'ai travaillé comme psychologue.
5127,"Chaque fois qu'ils croisaient Vita, elle les regardait mal."
5128,Ses yeux étaient uniformément noirs.
5129,Il a du respect pour vous.
5130,Il participait à un dîner d'anniversaire.
5131,...j'aurais appelé la presse dès le deuxième cadavre.
5132,Elle ouvre les yeux.
5133,C'était le même sort qu'à Vita Berlin.
5134,"Ceci, on ne le racontera pas aux petits-enfants."
5135,Un croisement était fait.
5136,J'ai tenté de lui expliquer.
5137,Je préfère le rencontrer.
5138,Pas d'éviscération comme pour Vita et Quigg.
5139,Milo l'enviait d'être productive.
5140,Aucun colis en provenance du Pakistan.
5141,Je me suis fait ce cadeau.
5142,C'est au sujet du dossier Cameron.
5143,N’en déplaise à ces procureurs adjoints.
5144,Brian Cohn avait la gueule de bois.
5145,Il conduisait des enquêtes depuis des années.
5146,"C'était jean, basket et polo."
5147,"Ça te chiffonne, finis-je par dire."
5148,Elle aime skier .
5149,J'observais la table de chevet.
5150,Nous retournons à notre vocation.
5151,Elle était d'un rouge assorti.
5152,Nous avons une idée du déroulement des meurtres.
5153,Ses poings étaient striés de cicatrices.
5154,Il tenait à se montrer bon joueur.
5155,Ce n'est sans doute pas très important.
5156,Elle menait une existence assez solitaire.
5157,Elle perçoit sa chaleur.
5158,Son cou était épais comme un tronc.
5159,Que voulait-elle au juste ?
5160,Cheryl Wannamaker nous a parlé.
5161,Je ne l'ai pas crue sur parole.
5162,Comme vous l'aviez supposé .
5163,Sa logique me semblait douteuse.
5164,Ce risque existe toujours.
5165,Elle est baignée de soleil.
5166,"Je dis ""Avec un public captif."
5167,Existe-t-il d'autres maladies ?
5168,Elles ont l'air très nettes.
5169,Je vais à mon bureau.
5170,Elle prétendait avoir un dommage ?
5171,Pourquoi le choix s'est-il porté sur Colin ?
5172,Mais reste la grande question.
5173,Ils étaient écrasés par une voiture.
5174,Je ne courais aucun danger.
5175,Je n'ai pas vérifié.
5176,C'était une pièce spacieuse.
5177,Ce que je vous dis sera versé.
5178,Certains croisent les doigts.
5179,"Au bureau, Milo appela Maria."
5180,On est accoutumé aux blessures.
5181,Je n'ai pas de peine.
5182,Ce genre de choses.
5183,Il était à l'arrière-plan.
5184,Surtout pas les hommes !
5185,Elle se malaxa les mains.
5186,A-t-elle été mariée ?
5187,Sa corpulence était moyenne.
5188,Elle préleva les deux pastilles.
5189,Je vais retrouver cette Samantha.
5190,La thérapie faisait partie d'une transaction ?
5191,Un avis autorisé sur son état psychologique.
5192,Plus la tâche nous sera facilitée .
5193,Une langue gonflée pendait.
5194,Je leur ai demandé de les mouler .
5195,Je ne suis pas Crésus.
5196,Nous adaptons le mode de vie.
5197,La recherche porte sur cinq années.
5198,Côté vie de famille .
5199,La police a trouvé du bourbon.
5200,Elle était sympathique dans sa maturité.
5201,Parfois il y avait du cannibalisme.
5202,Cela pourrait dire quelque chose.
5203,La moquette est bleu marine.
5204,Un locataire doit quasiment commettre un meurtre.
5205,"Des gens écœurés, oui."
5206,Aucun signe distinctif ?
5207,que c'est la chose responsable à faire.
5208,"J'ai très, très besoin."
5209,Il portait un polo marine.
5210,"Personne ne vous soupçonne, Samantha."
5211,Je vous ai apporté une douceur.
5212,A-t-elle précisé les moqueries ?
5213,Un signe de déséquilibre mental.
5214,L'hôtel était le Sofitel.
5215,Parnell y travaillait comme spécialiste des rentes.
5216,Il y avait des colonnes de chiffres.
5217,On va rechercher les fibres.
5218,Personne ne rendait visite à Vita.
5219,"Milo demanda ""A-t-elle obtenu gain de cause ?"
5220,Je ne dis pas que Colin était stupide .
5221,Le Dr Shacker appellera bientôt.
5222,Elle secoua la tête négativement.
5223,Je suis réticent à parler.
5224,Il ne prétend jamais que c'est un métier.
5225,Je l'ai photographiée avant.
5226,Je suis tombée sur deux ados.
5227,La nuit promet d'être coquine.
5228,Elle vient de mon père.
5229,C'est bon pour le teint !
5230,Milo avait déjà la tête ailleurs.
5231,Il aimait tout le monde .
5232,Il était lent mais régulier.
5233,Ce n'était pas joli à voir.
5234,Elle affichait un air grave.
5235,C'est dans la boucherie.
5236,Votre poste était proche du sien.
5237,...la décision ne m'appartiendra plus.
5238,"La moindre chance ? Vous êtes sérieuse, Maria ?"
5239,"C'est vrai, non ?"
5240,Il aurait pu accueillir un panda.
5241,Elle tapota à nouveau son épaule.
5242,C'était un individu quelconque.
5243,Qu'est-il arrivé au juste ? .
5244,Il est trop tôt pour le dire.
5245,"Question déco, on n'avait pas regardé à la dépense."
5246,La police ?  fit-il.
5247,Mais je peux me tromper.
5248,Merci de m'avoir appelé.
5249,Il a un cabinet là.
5250,Parce que c'était une vraie harpie.
5251,Prendre des coups plein la tronche.
5252,"Bon, il faut que je m'y remette."
5253,Il relâcha sa petite bedaine.
5254,Ce point était un point d'interrogation.
5255,D'une nouvelle si terrible .
5256,Elle entend sa respiration.
5257,Nous devrions chercher ce petit génie.
5258,La victime avait les cheveux foncés.
5259,"Non, non, non... ."
5260,Elle étouffe les pas.
5261,C'est ce que lui renvoya le plus grand.
5262,Il prit trois saucisses oubliées.
5263,Il se leva pour décrocher.
5264,J'ai le nez bouché .
5265,Les tubes et bavardages sont inefficaces.
5266,Un cliché de groupe fut pris.
5267,C'était peut-être une évaluation psychologique.
5268,Ils dérangeaient la clientèle.
5269,"Avant aussi, mais pas depuis."
5270,Ça lui convenait mieux ainsi.
5271,On propose un rendez-vous aux heures de bureau.
5272,Ce n'était pas le but.
5273,Ils furent soignés il y a deux mois.
5274,Un cinglé brise le cou de ses victimes.
5275,Je suis du même avis.
5276,"Ça, c’est pour les présidents."
5277,"Je lui plais, mais elle mentirait pas."
5278,Ce n'est pas la porte à côté.
5279,Vous habitez loin ? .
5280,Elle n'est pas à l'horizon.
5281,Il en tendit un à la lumière.
5282,Lui avait l'air prêt à frapper.
5283,L'éclairage venait de rampes de spots.
5284,Nguyen n’a rien trouvé.
5285,Je remarquais un homme sur le trottoir.
5286,Nous ne donnons jamais notre nom.
5287,J'étais privé de viennoiserie.
5288,"Ce n'est pas le cas ici, maître."
5289,Une lettre de recommandation.
5290,Elles se plaignent de remarques déplacées.
5291,L'immeuble était bleu ciel.
5292,Ses parents se sont penchés vers elle.
5293,Ou bien il la retirait pour se promener .
5294,C'était une entorse à l'éthique.
5295,Vita est morte ?
5296,Elle agrippa l'avant-bras de son mari.
5297,Pas de calepin à la main.
5298,On carbure au café ici !
5299,Je ne me suis levé qu'à sept heures.
5300,Elle n'aime personne sauf moi.
5301,Nous ne jurons jamais rien.
5302,J'aimerais revenir au procès.
5303,C'est dans un immeuble de briques.
5304,Vous aimez les procès.
5305,C'est un vrai malade.
5306,"C’est bon, je peux retourner travailler ?"
5307,C'est dans le reste de la pièce.
5308,Une petite femme ne peut faire mal.
5309,Je ne sais pas.
5310,C'est une cause justifiée.
5311,Il fait des expérimentations d'envergure.
5312,Ces deux-là étaient inséparables .
5313,Il voulait savoir comment un animal fonctionne.
5314,La sœur du chef adjoint Salmon habite ici.
5315,L’autre ne regardait pas la route.
5316,Est-ce un défaut ?
5317,Ils choisissent de l'ignorer.
5318,Il dévoila des crocs de lion.
5319,Je la garderais en otage.
5320,Ces bijoux étaient de grande valeur.
5321,que leur appartement n'avait pas d'alarme.
5322,On a l'impression de se retrouver.
5323,Vu sa manière de se déplacer.
5324,Milo mit le contact.
5325,Elle a un troisième moteur.
5326,J'ai réussi à lui faire admettre.
5327,Elle avait de jolies formes.
5328,Elle abuse du jargon policier.
5329,Je suis navrée de vous faire perdre du temps.
5330,La salle d'attente est toujours bondée.
5331,Il frissonna à ce sujet.
5332,Notre méchant a frappé de nouveau.
5333,Il ne comprenait pas pourquoi les flics venaient.
5334,C'est un des clochards qui l'a tué ? .
5335,Il avait les cheveux gris.
5336,"Mais vérification faite, le type était en mer."
5337,Elle lui lança un regard agacé.
5338,Je n'ai rien vu de tel.
5339,Elle s'excusa pour les faux espoirs.
5340,On s'en sort difficilement.
5341,Le soleil créait des reflets roses.
5342,Elle ne m'en a jamais reparlé.
5343,Vous cautionnez des fraudes à l'assurance.
5344,"Le mari fit ""Beurk !"
5345,Mais sa couleur était suspecte.
5346,"Je sais. Bon, d’accord."
5347,Tu es mon ami.
5348,À quel genre d'escroquerie s'est-elle livrée ?
5349,Ils étaient habitués du carrefour.
5350,"Un petit rhume, ce n'est rien !"
5351,Il ne l'avait pas repéré sur la scène.
5352,Je tiens à ce que ce soit rien.
5353,Je ne pense pas que ça ait un rapport.
5354,Ça prend un peu de temps.
5355,Donc il garde ses distances.
5356,Vita et Jackson Junius Sloat ont divorcé.
5357,Peut-être jouait-il le macho.
5358,Vous êtes sérieux ?
5359,Il est blessé ? .
5360,Les rares affaires non résolues sont anciennes.
5361,Je retournai dans la cuisine.
5362,Milo demanda s'ils étaient internes à Cedar.
5363,Ceux qui traînent le long de la Highway.
5364,Milo patienta quelques bouffées.
5365,Mais puis-je vous poser quelques questions ? .
5366,Deux grandes bouteilles de bourbon.
5367,L'homme porta un costume gris.
5368,Je quitte Sunset Boulevard.
5369,Elle appelait pour le taux d'alcool.
5370,Jack l'Éventreur est un précédent.
5371,Je dois prendre le volant.
5372,Il y avait des têtières.
5373,Mes collègues étaient impliqués.
5374,La pièce ne servait pas souvent.
5375,Elle visite ma belle-mère.
5376,Comme un homme préhistorique !
5377,Vernis nacré aux ongles des mains.
5378,Ils avaient des poignées en laiton.
5379,Je me dis que c’est un endroit.
5380,Il se planta devant la porte.
5381,Sloat jeta un coup d’œil en arrière.
5382,Pour reprendre son expression.
5383,"Et Britt, le ski ."
5384,Je demandai leurs spécialisations.
5385,Celui de votre Quigg ?
5386,Le côté outré faisait partie du personnage.
5387,Son style était hispano-californien.
5388,C'était une femme douce à lunettes.
5389,C’est de l’histoire ancienne.
5390,Avait-il pris les autres du placard ?
5391,C'est quarante minutes de l'appartement de Vita.
5392,Son amie avait l'œil.
5393,"Riches, suffisants et pistonnés."
5394,Vita était brodé en blanc.
5395,On aura une nouvelle victime.
5396,On a juste entendu du raffut.
5397,Il y avait huit places de parking.
5398,Ses narines se retroussèrent.
5399,Cela l'avait toujours embêtée.
5400,Elle a tenu quatre ans.
5401,Et le facteur panique n'est pas à négliger.
5402,Comme avec toutes les compagnies d'assurances.
5403,Elles sont à la demande du locataire.
5404,Elle ne se souciait pas de Milo.
5405,On va interroger ce médecin.
5406,Ma chère mère me lavait la bouche au savon.
5407,Son comportement était inadmissible.
5408,"Je dis ""Merci. Je crois."
5409,Il va vous raconter ça.
5410,Les psychotiques sont démunis.
5411,Combien de personnes ?
5412,"En attendant, je vais me concentrer sur les Parnell."
5413,Elle vous propose un plan cul.
5414,Maria jugeait peut-être cela pouvoir.
5415,Ceci avant la découpe.
5416,Il s'en est servi pour Vita.
5417,Quelqu'un s'est introduit chez elle.
5418,Je peux vous aider ?
5419,Il a fait une condition.
5420,Moins j'avais affaire à elle.
5421,Dissipons tout de suite le malaise.
5422,"Par exemple, un anesthésiant."
5423,Pour les symptômes de harcèlement.
5424,La décomposition était entamée.
5425,Je vais être occupé par le basique.
5426,Elle disait qu'ils fournissaient des renseignements.
5427,Si le chef a été averti assez tôt...
5428,Elle se précipita dans la kitchenette.
5429,La ligne téléphonique de la victime.
5430,Puis je l’ai haïe.
5431,Elle masqua sa confusion à cette assertion.
5432,Elle se mit à pleurer.
5433,"Moi, c'était il y a trois semaines."
5434,Elle le nourrissait en conséquence.
5435,Un homme était installé à un bureau.
5436,Je l'ai trouvée en dessous.
5437,Belle journée ensoleillée dans le West Side.
5438,Nous nous mettons toujours pieds nus.
5439,Depuis combien de temps travailliez-vous ici ?
5440,Il imaginait un bistouri.
5441,Mais il était en manteau.
5442,Un seul policier suffirait.
5443,Vous seriez prête à passer du temps ?
5444,Elle leva les poings.
5445,Elle avait un jeu subtil de nuances.
5446,Nous scrutions la scène et la victime.
5447,Prenez n’importe qui au hasard.
5448,Elle m'a montré quantité de documents.
5449,Il trouvait la suite illogique.
5450,Je ne peux rien affirmer.
5451,Elle pensait que la victime était un sans-abri.
5452,Il n'y avait pas de lignes.
5453,Il l'avait été envers l'inconnu.
5454,Une couverture dénote un problème.
5455,Il retira sa grosse paluche.
5456,Une forte contusion était à la nuque.
5457,Je ne sais pas...
5458,Les avions projetaient une ombre.
5459,La belle amie me sourit.
5460,"Il apprend vite, monsieur."
5461,Il plissa les paupières.
5462,Belle Quigg n'afficha aucune réaction.
5463,Milo les trouva dans un tiroir.
5464,Il susciterait une réaction plus marquée.
5465,Pas de buissons abîmés.
5466,Il raccrocha le téléphone.
5467,Une fraude à part entière n'aurait pas été compliquée.
5468,Le vrai boulot sera pour lui.
5469,Il s'en est pris à un client.
5470,Ces taches étaient aussi aux pattes.
5471,Ses ongles n'avaient pas de vernis.
5472,Comment a-t-il réagi ?
5473,Quelqu'un s'est fait la connasse.
5474,Le secteur du bien-être implique un tiers payeur.
5475,Ils allaient quitter les lieux.
5476,"Elle dirait ""Nous n'en rebattrons les oreilles !"
5477,Son manteau était tout gonflé.
5478,Il est venu pour un problème.
5479,De chaque bruissement de feuille.
5480,"Vie, en italien et en latin."
5481,Ils semblaient n'avoir jamais servi.
5482,On finit par s’habituer.
5483,Il voyait cela comme une expérience.
5484,C'était le docteur Clarice Jernigan.
5485,"La recette miracle, ça n'a pas marché."
5486,Ses pieds étaient nus.
5487,Quelle heure est-il en Angleterre ?
5488,J'en étais à ma deuxième bière.
5489,Maximilian leur avait appartenu.
5490,Je retiendrai ton hypothèse.
5491,Le bureau était vide.
5492,Je n'ai même pas pris sa déposition.
5493,Il portait une cravate citrouille.
5494,que c'était pour dix-huit mètres carrés.
5495,Elle était la parfaite bureaucrate.
5496,Vous pensez qu’elle a organisé son meurtre ?
5497,qu'ils pensaient ça les détendrait.
5498,Il le fit consciencieusement.
5499,Les patients portent plainte.
5500,que leur contribution ne sortirait pas du lot.
5501,Je refuse d'aller fouiner.
5502,L'association des propriétaires m'a confirmé.
5503,Dis bonjour aux gentils policiers.
5504,Cela m'apaisa les nerfs.
5505,La liste des suspects s'étend.
5506,Elle ne demandait qu'à se faire sauter.
5507,Elle roula de nouveau les yeux.
5508,Ne devrait-on pas évoquer le manteau ?
5509,Il finit par s'exprimer.
5510,Shacker a la cinquantaine.
5511,Quelqu'un se serait plaint.
5512,Elle a entamé une thérapie.
5513,Je mesure l'importance du tempérament.
5514,C'était au parking de la gare d'Union.
5515,Elle prenait plaisir à cela.
5516,Le gars a blêmi.
5517,Elle devient un grondement fort.
5518,Le monstre a dû tomber dessus.
5519,Vous refusez de recourir aux médias.
5520,Elle mange ici une fois par semaine.
5521,Fourni par l'assureur de l'employeur.
5522,Vous débarquez ici maintenant.
5523,Cela doit être intéressant.
5524,Ce qui est arrivé à Mme Berlin.
5525,Les personnes vraiment malades se soignent.
5526,Elle réclamait cinq millions.
5527,"Oui, George Hassan est le patron."
5528,"Tout est possible, Gloria ."
5529,Les prostituées ou les caissières de supermarché.
5530,Vous ne trouverez pas la solution ici.
5531,Ils ont moulé les empreintes.
5532,Nous éluciderons la métapsychose.
5533,Il était dans une trouée.
5534,D'une certaine tranche d'âge.
5535,Le choix n'était pas compliqué.
5536,"Des idées, Milo ?"
5537,La salle d'attente était lumineuse.
5538,Les vieilles habitudes ont la vie dure.
5539,Il feuilletait son calepin.
5540,Des jardiniers chassaient la poussière.
5541,"Elle mangeait, tout baignait."
5542,Du trente-six au quarante-huit .
5543,Elle ne pouvait neutraliser Vita.
5544,Je ne dépasse pas d'une nanoseconde.
5545,J'aimerais profiter de quelques années.
5546,Cela pourrait indiquer une expérience.
5547,Je lui ai promis d'en parler.
5548,Les Cameron n'ont donc pas perdu d'argent.
5549,Il fallait force et confiance.
5550,Ça me fait penser à des chevaux .
5551,Avec l'incitation du Jack Daniel's.
5552,Quand j'ai personne pour me border.
5553,Les comptes bancaires ne recelaient rien.
5554,Elle le traînait en justice.
5555,On ne l'a jamais traitée humainement.
5556,"C'était le soir, autour de neuf heures."
5557,Son bras était tapissé de motifs.
5558,Il tripota sa perruque.
5559,"Salut, Gloria. À toi de jouer."
5560,Ce serait une bonne idée.
5561,C'était une table en aggloméré blanc.
5562,Je lui livrai l'hypothèse.
5563,Les images resteraient logées à jamais.
5564,Pas de gazon arraché.
5565,Si je pouvais aider.
5566,Nous allions rejoindre Butler.
